Time (ms),y target (mm),y tip (mm)
4861,0.02730021,-0.07521106
4886,0.0004227823,-0.07242771
4911,-0.04182622,-0.07131238
4936,-0.08737609,-0.07286187
4961,-0.1230632,-0.07397484
4986,-0.1230632,-0.07397484
5011,-0.162623,-0.07671255
5036,-0.1836941,-0.07666941
5061,-0.1915856,-0.0768453
5086,-0.1695347,-0.0766885
5111,-0.1433237,-0.07782192
5139,-0.09501843,-0.08119497
5163,-0.09501843,-0.08119497
5189,-0.01104794,-0.09001733
5214,-0.01104794,-0.09001733
5239,0.04467368,-0.09715948
5264,0.06419399,-0.09874032
5289,0.07459182,-0.09777091
5314,0.07210412,-0.09304106
5339,0.07210412,-0.09304106
5364,0.03924127,-0.08341068
5389,0.009295105,-0.07792087
5414,-0.05658395,-0.07135981
5439,-0.09795576,-0.06913467
5464,-0.1397258,-0.06766
5489,-0.1397258,-0.06766
5514,-0.1907639,-0.06656461
5539,-0.2058435,-0.06622502
5564,-0.2144997,-0.06881712
5589,-0.2144997,-0.06881712
5614,-0.1857222,-0.07333741
5640,-0.1364455,-0.07946236
5665,-0.1364455,-0.07946236
5690,-0.08756241,-0.08346979
5715,-0.05219793,-0.08643945
5740,-0.005316456,-0.08860187
5765,0.02322534,-0.08951659
5791,0.04745363,-0.09130417
5816,0.04745363,-0.09130417
5841,0.05594366,-0.09098387
5866,0.0489015,-0.09023089
5891,0.02512018,-0.08813871
5916,-0.0131489,-0.08397537
5941,-0.04797507,-0.08119749
5966,-0.04797507,-0.08119749
5991,-0.101253,-0.07820944
6016,-0.134516,-0.07641149
6041,-0.1671539,-0.07550701
6066,-0.197176,-0.07556982
6091,-0.2093188,-0.07683025
6116,-0.1918618,-0.08012476
6141,-0.1918618,-0.08012476
6166,-0.1439433,-0.08531685
6191,-0.1062715,-0.08914696
6216,-0.0523919,-0.0927543
6241,-0.0523919,-0.0927543
6266,0.001518718,-0.0964826
6291,0.04555445,-0.09952114
6316,0.07553118,-0.09996464
6341,0.08636077,-0.09838176
6366,0.08532023,-0.09540321
6397,0.08532023,-0.09540321
6422,0.07351645,-0.09134466
6447,0.07351645,-0.09134466
6472,0.02840482,-0.08457185
6497,-0.03565253,-0.07976219
6522,-0.03565253,-0.07976219
6547,-0.1495608,-0.07459037
6572,-0.1495608,-0.07459037
6597,-0.1853185,-0.07304638
6622,-0.2061753,-0.07103734
6647,-0.2061753,-0.07103734
6672,-0.1545014,-0.07347421
6697,-0.1545014,-0.07347421
