Time (ms),y target (mm),y tip (mm)
10109,-0.1319164,-0.03123413
10159,-0.1866518,-0.0309557
10210,-0.2029507,-0.03099049
10259,-0.1933313,-0.03251863
10310,-0.2142953,-0.04015647
10360,-0.2075002,-0.04296735
10410,-0.2161697,-0.05234559
10460,-0.2106955,-0.06137225
10510,-0.2159787,-0.06534132
10559,-0.2148923,-0.07576771
10609,-0.2162618,-0.08884765
10660,-0.2147341,-0.09423824
10710,-0.2180922,-0.1038461
10760,-0.2219779,-0.1102005
10809,-0.2230894,-0.1145027
10860,-0.22349,-0.1229904
10910,-0.2246335,-0.1294553
10960,-0.2245791,-0.1377701
11010,-0.2259371,-0.1435055
11059,-0.2265802,-0.148353
11110,-0.2265007,-0.1493698
11160,-0.2245248,-0.1485265
11210,-0.2254361,-0.1479634
11260,-0.2245457,-0.1489699
11310,-0.213136,-0.1491267
11360,-0.05881066,-0.1488914
11410,-0.002594185,-0.1489894
11460,0.03467872,-0.14903
11510,0.03394966,-0.1488091
11560,0.06302708,-0.1416204
11610,0.06783526,-0.1389089
11660,0.07923959,-0.1297054
11710,0.08347826,-0.1261267
11760,0.08203739,-0.122389
11810,0.08366482,-0.113616
11860,0.08498824,-0.1050709
11910,0.08621676,-0.1013782
11960,0.08951647,-0.0910814
12010,0.09077145,-0.08739258
12060,0.09246033,-0.07857561
12110,0.09804198,-0.06724739
12160,0.1033574,-0.05390574
12210,0.1053519,-0.04988813
12260,0.1075072,-0.04074238
12310,0.1091992,-0.0341243
12360,0.1107845,-0.03246356
12410,0.1118965,-0.03183559
12460,0.1148257,-0.03220361
12510,0.1152746,-0.03219982
12560,0.115501,-0.03080258
12610,0.110763,-0.03172985
12660,0.1020543,-0.03100008
12760,-0.14458,-0.030483
12810,-0.1982595,-0.03098697
12860,-0.2043615,-0.0319903
12910,-0.2086251,-0.04069903
12960,-0.2085536,-0.0483912
13010,-0.2129856,-0.05706217
13060,-0.2104841,-0.05920644
13110,-0.2111117,-0.06599196
13160,-0.2106269,-0.07082298
13210,-0.2154445,-0.08551831
13260,-0.2143969,-0.09463394
13310,-0.2180887,-0.09924348
13360,-0.2236329,-0.1054718
13410,-0.2259123,-0.1136786
13460,-0.2274095,-0.1173861
13510,-0.2282309,-0.1285962
13560,-0.2297504,-0.1355741
