Time (ms),y target (mm),y tip (mm)
4926,0.02399115,0.01772568
4951,0.02087373,0.02195836
4978,0.01702963,0.02711749
5003,0.01702963,0.02711749
5028,0.05381113,0.07649703
5053,0.003549092,0.03036615
5078,-0.05734869,-0.02389272
5103,-0.05166178,-0.01264651
5128,-0.01729637,0.03349568
5153,-0.01729637,0.03349568
5178,-0.07816622,-0.01650534
5203,-0.09157667,-0.02091441
5228,-0.09829734,-0.02186131
5253,-0.106496,-0.02293239
5278,-0.106496,-0.02293239
5303,-0.1142794,-0.02214931
5328,-0.120344,-0.02093114
5353,-0.1285479,-0.0211037
5378,-0.1345755,-0.02310823
5403,-0.1345755,-0.02310823
5428,-0.1424823,-0.03077375
5453,-0.1469876,-0.03541646
5478,-0.1545918,-0.04242282
5503,-0.1585799,-0.04554294
5528,-0.1624817,-0.04799753
5553,-0.1624817,-0.04799753
5578,-0.1666437,-0.05143352
5603,-0.1694641,-0.05608731
5628,-0.1731995,-0.06317892
5654,-0.1752465,-0.06999128
5678,-0.1773887,-0.07640212
5703,-0.1802527,-0.08199336
5728,-0.1822203,-0.08504566
5753,-0.1852171,-0.09017204
5778,-0.1876129,-0.09361347
5803,-0.1876129,-0.09361347
5829,-0.1911608,-0.09907676
5853,-0.1945474,-0.1057928
5879,-0.1976732,-0.1138654
5903,-0.1995202,-0.1184257
5928,-0.2009149,-0.1222723
5953,-0.2009149,-0.1222723
5978,-0.2013907,-0.1253305
6005,-0.2023685,-0.1290624
6032,-0.2023685,-0.1290624
6056,-0.2015319,-0.1325473
6081,-0.1991001,-0.1354358
6106,-0.197043,-0.1364275
6133,-0.1934431,-0.1365147
6158,-0.1874681,-0.135705
6183,-0.1819367,-0.1352795
6208,-0.1819367,-0.1352795
6233,-0.1727189,-0.1351616
6258,-0.1630089,-0.1354682
6283,-0.1630089,-0.1354682
6309,-0.02632913,-0.01351206
6333,-0.02632913,-0.01351206
6358,-0.007660344,-0.01087645
6383,-0.1206455,-0.1360386
6408,0.02803642,0.0007179976
6433,0.02803642,0.0007179976
6458,0.03618255,-0.005364344
6483,-0.08192394,-0.1362837
6508,-0.06888135,-0.1355435
6533,-0.0563306,-0.1342056
6558,-0.0563306,-0.1342056
6583,-0.04690704,-0.1327905
6608,-0.03341091,-0.1309249
6633,-0.02030373,-0.1298884
6658,-0.01065561,-0.1293147
6683,-0.01065561,-0.1293147
6708,0.004294144,-0.128968
6733,0.01272459,-0.1272698
6758,0.02358547,-0.1240731
6783,0.03099129,-0.1210362
6808,0.03099129,-0.1210362
6833,0.03998581,-0.1173562
6858,0.04882854,-0.1144172
6883,0.05488688,-0.1126038
6908,0.05983719,-0.1110589
6933,0.06665134,-0.1092552
6958,0.07186874,-0.1077629
6983,0.07868664,-0.1045457
7008,0.07868664,-0.1045457
7033,0.08490384,-0.1007916
7058,0.09197158,-0.09643266
7083,0.09197158,-0.09643266
7108,0.09916805,-0.0914781
7133,0.1057781,-0.08589868
7158,0.1106156,-0.08115023
7183,0.1166491,-0.07438151
7208,0.12103,-0.06935932
7233,0.12103,-0.06935932
7258,0.1272865,-0.06286654
7283,0.1332563,-0.05680072
7308,0.1389355,-0.05024185
7333,0.1434596,-0.04701525
7358,0.1469601,-0.0440273
7383,0.1497001,-0.04164084
7408,0.1528193,-0.03852509
7433,0.155074,-0.03457377
7459,0.155074,-0.03457377
7484,0.153912,-0.02770116
7509,0.1498573,-0.02221059
7534,0.1431524,-0.01786724
7559,0.1431524,-0.01786724
7584,0.1374782,-0.01387838
7609,0.1285885,-0.008172655
7634,0.1195225,-0.00359163
7659,0.09035862,-0.02276897
7684,0.09035862,-0.02276897
7709,0.1002167,-0.004695226
7734,0.09595408,-0.006209455
7759,0.06764778,-0.02928231
7784,0.06764778,-0.02928231
7809,0.05208063,-0.03007048
7834,0.0525925,-0.02472128
7859,0.06308592,-0.004933037
7884,0.05361204,-0.005415677
7909,0.03826864,-0.006597044
7934,0.03826864,-0.006597044
7959,0.01978973,-0.007096476
7984,0.01978973,-0.007096476
8009,0.00659582,-0.006234426
8034,0.02675029,0.03194371
8059,0.02675029,0.03194371
8084,0.02264129,0.0368638
8109,-0.03146958,-0.01063113
8134,-0.03681765,-0.004704483
8159,-0.05805913,-0.01634661
8184,-0.06621727,-0.0108024
8209,-0.07677222,-0.0092467
8234,-0.07677222,-0.0092467
8259,-0.08404512,-0.008521369
8284,-0.09358284,-0.00860233
8309,-0.09867328,-0.009782612
8334,-0.1055594,-0.01421031
8359,-0.1101883,-0.0178593
8384,-0.1101883,-0.0178593
8409,-0.1147854,-0.02132854
8434,-0.118925,-0.02487017
8459,-0.1239137,-0.02951289
8484,-0.1275437,-0.03245411
8509,-0.1275437,-0.03245411
8534,-0.1334181,-0.03891596
8559,-0.139491,-0.04648332
8584,-0.1424941,-0.04935474
8609,-0.1459618,-0.0535766
8634,-0.150102,-0.05989498
8659,-0.156184,-0.06712882
8684,-0.156184,-0.06712882
8709,-0.1616026,-0.07512146
8734,-0.1649913,-0.08030316
8759,-0.1700507,-0.08620198
8784,-0.1700507,-0.08620198
8809,-0.1752635,-0.09294811
8834,-0.1788069,-0.09574685
8859,-0.1817144,-0.09981188
8884,-0.185252,-0.1056343
8909,-0.185252,-0.1056343
8934,-0.1880714,-0.1144446
8959,-0.1886393,-0.1199264
8984,-0.1886393,-0.1199264
9010,-0.003159523,0.05938213
9034,-0.003159523,0.05938213
9059,-0.02685715,0.02463183
9084,-0.1810656,-0.1323954
9109,-0.01613261,0.02209021
9134,-0.01613261,0.02209021
9159,-0.00292182,0.02902035
9184,-0.01963198,0.005992919
9209,-0.006529808,0.01241809
9234,-0.006529808,0.01241809
9259,0.01737332,0.02829096
9284,0.02350909,0.02542834
9309,0.02350909,0.02542834
9334,0.004503518,-0.005354509
9359,-0.02688275,-0.04460477
9384,-0.02688275,-0.04460477
9409,0.03397646,0.002376944
9434,-0.08467975,-0.1237864
9459,-0.02528133,-0.07525127
9484,-0.02528133,-0.07525127
9509,0.06903492,0.008891791
9534,-0.04665281,-0.1218396
9559,-0.04665281,-0.1218396
9584,-0.03278988,-0.1236727
9609,-0.02400366,-0.1243927
9634,-0.01326452,-0.1240422
9659,-0.005376689,-0.1241008
9684,0.002414629,-0.1248295
9709,0.002414629,-0.1248295
9734,0.01207614,-0.1228406
9759,0.01834728,-0.1203161
9784,0.02707116,-0.1144679
9809,0.03121225,-0.1105045
9834,0.03472778,-0.1053598
9859,0.03883845,-0.1021977
